ID,Timestamp,Location,ToF(µs),Attenuation(dB/m),Frequency(MHz),Freq.Distortion(%),Amplitude(%),SNR(dB),Velocity(m/s),Impedance(MRayl),Depth(mm),DefectSize(mm),Type,Temperature(°C),Notes
NDT-001,2026-01-31T00:00:00Z,Column A-1,12.5,15.2,5.0,2.3,95,42.5,4200,10.5,0,0,Concrete,22.5,Normal reading
NDT-002,2026-01-31T00:15:00Z,Beam B-2,15.8,18.7,5.0,3.1,88,38.2,4100,10.2,25,5.2,Concrete,23.0,Minor defect detected
NDT-003,2026-01-31T00:30:00Z,Column A-2,11.2,12.5,5.0,1.8,98,45.3,4300,10.8,0,0,Concrete,22.0,Excellent condition
NDT-004,2026-01-31T00:45:00Z,Slab C-1,14.5,22.3,5.0,4.5,82,35.1,3950,9.8,35,8.5,Concrete,24.5,Significant defect
NDT-005,2026-01-31T01:00:00Z,Wall D-1,13.2,16.8,5.0,2.7,92,40.8,4150,10.3,12,3.0,Concrete,22.8,Small crack observed
NDT-006,2026-01-31T01:15:00Z,Beam B-3,16.5,25.5,5.0,5.2,75,32.5,3800,9.5,45,12.3,Concrete,25.0,Critical defect - requires attention
NDT-007,2026-01-31T01:30:00Z,Column A-3,10.8,11.2,5.0,1.5,99,46.8,4350,11.0,0,0,Concrete,21.5,Perfect condition
NDT-008,2026-01-31T01:45:00Z,Slab C-2,13.8,19.5,5.0,3.8,85,36.5,4050,10.0,28,6.8,Concrete,23.5,Moderate defect
NDT-009,2026-01-31T02:00:00Z,Wall D-2,12.0,14.8,5.0,2.1,94,41.5,4250,10.6,8,2.5,Concrete,22.2,Minor surface crack
NDT-010,2026-01-31T02:15:00Z,Beam B-4,11.5,13.5,5.0,1.9,96,43.2,4280,10.7,0,0,Concrete,21.8,Good structural integrity
